N,7,577,80,735,49,H,0
N,7,600,65,617,63,N,0
N,8,577,97,600,54,H,0
N,8,617,76,735,57,N,0
N,8,712,73,631,60,N,0
N,9,669,70,842,66,N,0
N,9,670,76,712,56,H,0
N,9,749,80,663,73,H,0
N,9,810,82,734,58,H,0
N,10,810,64,669,59,H,0
N,10,842,78,734,68,N,0
N,11,512,80,685,64,H,0
N,11,513,67,538,40,A,0
N,11,515,91,761,87,H,1
N,11,518,75,678,60,H,0
N,11,522,78,752,60,H,0
N,11,527,80,544,65,H,0
N,11,529,77,605,76,N,1
N,11,530,67,622,61,H,0
N,11,536,75,647,65,H,0
N,11,537,55,736,53,A,0
N,11,546,77,815,59,H,0
N,11,551,98,615,69,N,0
N,11,554,72,584,66,H,0
N,11,556,76,514,56,H,0
N,11,557,85,680,55,H,0
N,11,558,65,596,62,A,0
N,11,559,81,833,55,H,0
N,11,561,79,770,69,H,0
N,11,578,84,614,55,H,0
N,11,590,72,679,69,H,0
N,11,592,80,798,58,H,0
N,11,594,57,580,54,H,0
N,11,597,77,566,65,H,0
N,11,599,63,528,58,A,1
N,11,604,72,760,48,H,0
N,11,606,92,837,47,H,0
N,11,616,67,750,58,H,0
N,11,617,73,835,64,H,0
N,11,619,47,726,45,H,0
N,11,623,66,582,50,H,0
N,11,627,59,610,46,H,0
N,11,628,68,545,48,H,0
N,11,629,61,806,58,H,0
N,11,637,96,593,57,H,0
N,11,638,85,834,63,H,0
N,11,642,73,838,67,A,0
N,11,657,77,690,64,N,0
N,11,660,95,618,64,H,0
N,11,662,81,533,52,H,0
N,11,674,65,516,52,H,0
N,11,686,84,653,76,A,0
N,11,701,102,762,59,H,0
N,11,709,61,677,56,A,0
N,11,721,83,509,54,H,0
N,11,722,76,820,57,H,0
N,11,725,66,688,64,H,0
N,11,729,65,847,51,H,0
N,11,731,86,588,63,H,0
N,11,738,82,574,50,H,0
N,11,739,63,611,62,A,0
N,11,741,76,531,74,H,0
N,11,746,63,659,61,H,0
N,11,755,75,613,70,A,0
N,11,756,70,748,62,A,0
N,11,764,88,776,61,H,0
N,11,768,87,508,79,H,0
N,11,769,89,634,76,H,0
N,11,771,60,767,46,H,0
N,11,775,72,745,62,H,0
N,11,778,73,648,63,H,0
N,11,779,69,744,57,H,0
N,11,783,75,854,67,A,0
N,11,785,60,665,44,H,0
N,11,788,67,836,63,N,0
N,11,789,79,586,65,N,0
N,11,793,68,784,38,H,0
N,11,795,76,564,66,N,0
N,11,796,81,777,47,H,0
N,11,799,86,692,68,H,0
N,11,812,56,682,54,H,0
N,11,816,108,510,101,H,1
N,11,823,68,713,62,H,0
N,11,824,69,804,63,H,0
N,11,829,78,507,60,H,0
N,11,831,65,601,62,H,0
